66,10,29,87,1
79,38,51,52,0
77,11,58,66,0
71,99,21,66,1
0,15,56,83,1
48,38,23,85,0
82,1,49,91,1
35,66,86,54,1
0,59,21,19,1
56,32,41,3,0
85,72,83,93,0
94,93,61,87,0
61,94,77,19,0
4,32,100,23,1
52,63,76,1,1
47,64,90,54,1
45,50,78,36,1
52,80,99,47,0
94,55,20,95,0
84,11,97,22,0
64,30,9,53,1
90,26,74,14,0
61,76,19,76,0
11,57,48,22,1
23,71,45,10,1
27,8,95,13,1
97,47,50,64,0
4,8,34,78,0
3,23,13,32,0
84,30,26,96,1
38,52,93,6,0
53,7,85,22,1
71,60,1,38,0
75,13,62,41,0
91,21,2,8,0
28,76,81,52,1
46,51,8,81,1
31,72,62,27,1
91,15,86,79,1
52,22,81,84,1
67,82,1,21,1
74,21,72,25,0
88,33,63,65,1
48,21,74,2,0
71,84,44,69,1
30,17,6,48,1
99,88,75,41,1
87,29,56,24,0
60,97,18,41,1
2,27,39,35,1
38,32,93,83,0
94,36,72,61,1
52,65,22,39,0
44,81,84,87,0
39,74,80,27,1
59,27,91,0,1
57,99,60,56,1
25,56,43,9,1
33,52,72,98,0
44,19,21,5,1
43,5,42,13,1
47,5,87,97,0
21,75,85,100,0
57,47,24,88,0
92,65,58,88,0
100,8,30,84,1
87,16,24,6,1
4,74,96,4,0
9,70,42,94,1
69,68,78,33,0
98,51,43,25,0
35,87,22,35,0
9,16,96,91,1
15,37,56,31,1
13,90,17,70,1
30,96,8,8,0
31,60,15,10,0
92,68,24,61,1
88,86,99,13,0
67,22,43,8,1
66,7,60,14,1
15,67,25,54,0
14,68,56,62,0
61,9,58,11,0
25,38,70,69,0
68,34,44,87,1
39,10,96,57,0
4,14,7,66,1
50,26,21,18,0
16,62,26,74,1
57,52,47,26,1
17,59,45,44,0
51,50,51,10,0
18,43,33,14,1
40,98,69,28,0
79,51,13,44,0
32,27,100,65,0
60,99,7,38,0
64,8,24,38,1
0,93,82,76,1
46,44,20,15,0
62,66,91,15,1
50,0,51,11,1
100,64,0,8,1
91,0,88,41,0
60,41,0,86,1
63,41,18,72,1
83,85,82,51,0
74,66,70,35,0
1,17,55,44,0
17,97,74,31,1
35,56,82,79,0
78,2,29,67,1
26,41,91,76,0
86,9,51,97,0
59,55,70,88,1
86,45,81,32,1
86,80,17,40,1
56,70,20,70,1
38,73,47,33,0
73,78,25,77,1
19,53,89,92,1
84,27,8,65,0
44,100,91,14,0
23,25,35,84,1
9,59,83,4,1
77,89,23,56,1
14,78,27,48,0
59,74,34,100,1
24,73,78,31,1
92,84,74,58,1
68,17,49,12,1
34,38,71,73,0
80,55,73,32,1
58,26,33,44,0
3,44,86,74,0
47,78,48,96,0
25,37,71,53,1
75,12,63,28,1
44,11,80,35,0
71,37,86,38,1
82,58,93,65,1
1,66,85,82,1
84,53,52,3,1
22,3,82,26,1
25,46,23,91,1
30,79,60,8,0
87,82,26,5,1
38,76,82,18,0
2,12,34,59,0
2,58,66,87,1
19,23,26,97,0
98,92,29,58,1
96,98,95,55,1
17,21,1,62,0
11,64,32,71,1
45,59,77,98,0
36,34,46,91,1
40,99,50,31,0
95,89,18,88,1
7,8,10,43,1
92,28,61,89,0
0,46,30,86,0
14,77,56,60,1
93,53,46,52,1
57,60,3,74,1
38,32,56,65,0
83,23,54,75,0
36,41,5,14,1
74,1,4,8,0
25,93,78,28,0
77,18,41,61,0
79,43,47,52,1
60,38,81,62,1
42,74,1,94,0
1,8,98,46,0
79,20,37,70,1
26,37,17,77,1
62,6,65,37,1
51,47,86,78,0
44,70,2,9,1
19,61,30,83,1
44,43,75,39,1
14,53,83,56,0
87,100,40,72,1
71,68,83,5,1
50,7,93,100,0
75,3,59,11,1
80,64,77,86,1
59,9,12,64,0
7,71,79,6,0
46,95,69,93,1
72,95,71,93,0
98,38,75,53,1
58,65,92,88,0
71,75,2,42,1
77,87,37,32,1
36,69,82,39,0
75,47,64,24,1
10,35,66,1,1
26,22,23,82,1
33,25,37,6,1
59,12,84,54,0
62,100,55,97,1
58,59,71,18,1
49,39,56,14,0
89,71,0,80,1
79,7,34,37,1
5,26,89,91,0
17,15,47,25,1
21,86,54,40,0
26,24,42,67,1
63,86,82,15,1
28,74,17,80,1
73,7,52,45,0
81,94,60,21,0
21,93,45,88,1
53,38,32,87,0
58,9,29,64,0
6,20,7,16,0
40,39,59,59,0
71,83,93,41,0
4,7,29,14,0
11,55,32,45,0
45,98,69,95,1
34,56,92,71,1
15,12,72,33,1
29,43,87,44,0
68,28,59,97,0
57,16,89,87,1
69,55,50,32,0
82,24,6,40,0
67,87,90,75,1
29,65,61,31,0
92,8,41,30,0
80,84,8,81,0
36,51,100,86,1
55,35,4,9,0
11,37,30,17,0
3,43,8,82,0
28,64,70,65,1
77,28,7,32,1
45,50,0,38,1
89,93,95,36,0
94,82,64,70,0
57,71,27,84,0
70,33,83,13,1
29,30,42,79,1
97,45,94,36,0
25,14,53,49,1
67,75,47,74,1
59,34,35,51,1
63,7,74,11,1
24,61,64,41,1
29,21,29,54,1
19,62,93,4,1
55,96,70,91,0
68,97,12,99,0
7,0,86,45,1
13,42,7,11,1
11,13,74,99,0
45,2,66,21,0
56,81,80,23,0
52,8,81,55,0
83,99,77,72,0
0,32,74,11,1
89,91,44,57,1
10,87,88,80,0
16,78,91,25,1
59,27,2,19,1
40,55,51,33,1
54,78,11,79,0
31,1,13,43,1
68,84,25,59,1
29,70,49,35,1
